brand,date,id_val,model,price,year,Wheels,Color,Body_Style,Horsepower,Hand_Drive,Engine_Cylinders,Version,Engine,Engine_Volume,Interior_Color,Mileage,Gearbox,Drive_train
Infiniti,2019-02-01, ID: 1993187,G37 ,12900.0,2012,18,White,Sedan,,Left,6.0,XS REYSTAYLING 11.2011,Petrol,3.7,black,102000.0,Automatic,Wheel drive
Honda,2019-02-01, ID: 1993127,Odyssey ,5200.0,2005,,Silver,Minivan / Minibus,,Left,,,Petrol,,,221000.0,Automatic,
Honda,2019-02-01, ID: 1993104,Elysion ,4700.0,2005,16,White,Minivan / Minibus,160.0,Left,4.0,Dax xek,Petrol,2.4,Beige,140000.0,Automatic,Front
Ford,2019-02-01, ID: 1993083,Fusion ,8800.0,2013,,black,Sedan,,Left,,2.5 se,Petrol,,,89000.0,Automatic,
Ford,2019-02-01, ID: 1992957,Fiesta ,8300.0,2015,,Other color,Sedan,,Left,,16,Petrol,,,45000.0,Automatic,
Ford,2019-02-01, ID: 1992893,Escape ,8500.0,2010,,Silver,Truck:,,Left,,,Petrol,3.0,Beige,130000.0,Automatic,Front
Honda,2019-02-01, ID: 1992846,Elysion ,7000.0,2009,17,White,Minivan / Minibus,160.0,Left,4.0,24,Petrol,2.4,black,100000.0,Automatic,Front
Honda,2019-02-01, ID: 1992845,Elysion ,7000.0,2009,17,White,Minivan / Minibus,160.0,Left,4.0,24,Petrol,2.4,black,100000.0,Automatic,Front
Infiniti,2019-02-01, ID: 1992828,FX35 ,7000.0,2005,,black,Truck:,,Left,,,Petrol,,,105000.0,Automatic,
Ford,2019-02-01, ID: 1992827,Transit ,6000.0,2006,,White,Furgon:,,Left,,110 DZIAUJ.. 2.85 METR KUZOZ,Diesel,,,120000.0,Mechanical,
Honda,2019-02-01, ID: 1992815,Elysion ,5000.0,2005,16,White,Universal,160.0,Left,4.0,2.4,Petrol,2.4,Beige,90200.0,Automatic,Front
Infiniti,2019-02-01, ID: 1992716,FX35 ,12300.0,2008,18,Silver,Truck:,,Left,6.0,,Petrol,3.5,black,75000.0,Automatic,Wheel drive
Ford,2019-02-01, ID: 1992707,Explorer ,7500.0,2008,16,black,Truck:,210.0,Left,6.0,4x4,Petrol,4.0,Beige,200.0,Automatic,Wheel drive
Ford,2019-02-01, ID: 1992706,Transit ,6800.0,2005,,yellow,Furgon:,,Left,,115 dziauj,Diesel,,,170000.0,Mechanical,
Ford,2019-02-01, ID: 1992699,Transit ,10800.0,2003,,White,Furgon:,,Left,,dvux skat shat lav vichak,Diesel,,,123000.0,Mechanical,
Ford,2019-02-01, ID: 1992639,Mustang ,22000.0,2015,,Silver,Coupe,,Left,,3.7,Petrol,,,32000.0,Automatic,
Ford,2019-02-01, ID: 1992623,Escape ,8300.0,2010,17,White,Truck:,241.0,Left,6.0,Ford Escape 3.0 Limited,Petrol,3.0,black,104000.0,Automatic,Front
GAZ,2019-02-01, ID: 1992594,Газель ,3800.0,2005,,White,Furgon:,100.0,Left,,"ԳԱԶԻ ԲԱԼՈՆ 3հատ,1.0,գործ",Petrol,,,85000.0,Mechanical,
Honda,2019-02-01, ID: 1992586,Elysion ,6000.0,2005,,black,Minivan / Minibus,,Left,,2.4,Petrol,,,132000.0,Automatic,
Ford,2019-02-01, ID: 1992573,Fiesta ,5500.0,2015,,red,Sedan,,Left,,1.6L SE,Petrol,,,90000.0,Automatic,
Infiniti,2019-02-01, ID: 1992491,FX35 ,15500.0,2010,18,White,Universal,303.0,Left,6.0,POLNI FUL ENTIR MEQENAYA,Petrol,3.5,Beige,150000.0,Automatic,Wheel drive
Ford,2019-02-01, ID: 1992461,Focus ,7600.0,2012,,White,Sedan,,Left,,SE TITANIUM,Petrol,,,110000.0,Automatic,
Ford,2019-02-01, ID: 1992410,Transit ,8400.0,2012,15,White,Universal,,Left,4.0,connekt,Astragalus,2.0,Grey,112000.0,Automatic,Front
Honda,2019-02-01, ID: 1992395,CR-V ,8700.0,2008,,black,Truck:,,Left,,,Petrol,,,140000.0,Automatic,
Infiniti,2019-02-01, ID: 1992392,FX35 ,11900.0,2007,,White,Truck:,,Left,,FX35 Premium 4X4,Petrol,,,170000.0,Automatic,
GAZ,2019-02-01, ID: 1992381,3110 ,1800.0,2001,,black,Sedan,,Left,,,Astragalus,,,160000.0,Mechanical,
Infiniti,2019-01-31, ID: 1992368,FX35 ,18000.0,2011,20,White,Universal,306.0,Left,6.0,3.5,Astragalus,3.5,Beige,100000.0,Automatic,Wheel drive
Honda,2019-01-31, ID: 1992291,CR-V ,4800.0,2002,,black,Truck:,,Right,,,Astragalus,,,140000.0,Automatic,
Ford,2019-01-31, ID: 1992268,Focus ,7300.0,2013,,black,Sedan,,Left,,SE,Petrol,,,120000.0,Automatic,
GAZ,2019-01-31, ID: 1992260,Газель ,3200.0,2004,,red,Universal,,Left,,1.7,Astragalus,,,234566.0,Mechanical,
Ford,2019-01-31, ID: 1992229,Fusion ,7500.0,2012,,black,Sedan,,Left,,2.5,Petrol,,,150000.0,Automatic,
Ford,2019-01-31, ID: 1992200,Focus ,5900.0,2014,,Blue,Sedan,,Left,,,Petrol,,,38000.0,Automatic,
Ford,2019-01-31, ID: 1992195,Focus ,6.43298969072165,2011,,Blue,Hatchback,,Left,,,Petrol,,,157000.0,Automatic,
Honda,2019-01-31, ID: 1992185,Elysion ,7000.0,2007,,black,Minivan / Minibus,,Left,,"3.5, PRESTIGE, FULL",Petrol,3.5,black,160000.0,Automatic,
Infiniti,2019-01-31, ID: 1992109,FX35 ,8700.0,2006,,Grey,Truck:,,Left,,Restayling 4х4,Petrol,,,150000.0,Automatic,
Honda,2019-01-31, ID: 1992045,Odyssey ,3700.0,2003,,Blue,Minivan / Minibus,,Right,,,Astragalus,,,147000.0,Automatic,
Ford,2019-01-31, ID: 1992005,Focus ,2500.0,2002,15,Golden,Sedan,2.0,Left,4.0,,Petrol,0.2,Beige,303000.0,Automatic,Front
Hummer,2019-01-31, ID: 1991992,H2 ,10500.0,2004,,Golden,Truck:,,Left,,Gaz,Astragalus,,,150000.0,Automatic,
Honda,2019-01-31, ID: 1991831,Odyssey ,6700.0,2006,,Grey,Universal,,Left,,,Petrol,,,90000.0,Automatic,
Honda,2019-01-31, ID: 1991818,Elysion ,5500.0,2006,17,black,Minivan / Minibus,,Left,,Honda Elysion 2006 Japan,Petrol,2.4,black,135000.0,Automatic,Front
Infiniti,2019-01-31, ID: 1991669,FX35 ,10000.0,2005,,black,Truck:,,Left,,,Astragalus,,,112000.0,Automatic,
Ford,2019-01-31, ID: 1991655,Transit ,6600.0,2010,16,Silver,Furgon:,85.0,Left,4.0,KONDICIONER FULL,Diesel,2.2,,161000.0,Mechanical,Front
Ford,2019-01-31, ID: 1991631,Transit ,6600.0,2003,16,Silver,Furgon:,90.0,Left,4.0,ZADNI VIDUSHI,Diesel,2.4,,150000.0,Mechanical,Rear
Infiniti,2019-01-31, ID: 1991626,G35 ,5900.0,2005,,Beige,Sedan,,Left,,,Petrol,,,205000.0,Automatic,
Ford,2019-01-31, ID: 1991533,Fusion ,9300.0,2012,,White,Sedan,,Left,,2.5,Petrol,,,79000.0,Automatic,
Ford,2019-01-31, ID: 1991473,Escape ,4800.0,2005,,black,Truck:,,Left,,,Petrol,,,130000.0,Automatic,
Honda,2019-01-31, ID: 1991377,Elysion ,3400.0,2004,,White,Minivan / Minibus,,Right,,,Petrol,,,103000.0,Automatic,
Infiniti,2019-01-31, ID: 1991348,EX35 ,10300.0,2008,17,White,Truck:,297.0,Left,6.0,,Petrol,3.5,Beige,77500.0,Automatic,Wheel drive
Honda,2019-01-31, ID: 1991202,Elysion ,6300.0,2007,16,Silver,Minivan / Minibus,240.0,Left,6.0,,Petrol,3.0,,94000.0,Automatic,Front
Honda,2019-01-31, ID: 1991122,Elysion ,5500.0,2005,,black,Minivan / Minibus,,Right,,,Astragalus,,,185000.0,Automatic,
Honda,2019-01-31, ID: 1991094,Fit ,2500.0,2001,,White,Hatchback,,Right,,SHTAP,Petrol,,,175000.0,Automatic,
Infiniti,2019-01-31, ID: 1991014,FX35 ,6300.0,2006,,black,Universal,,Left,,Restyle,Petrol,,,106000.0,Automatic,
Honda,2019-01-31, ID: 1990980,Elysion ,7400.0,2011,17,White,Universal,,Left,4.0,,Petrol,2.5,black,73000.0,Automatic,
Honda,2019-01-30, ID: 1990966,Accord ,4800.0,2003,,Silver,Sedan,,Right,,2.0,Petrol,,,77000.0,Automatic,
Ford,2019-01-30, ID: 1990914,Transit ,6500.0,2005,16,yellow,Furgon:,90.0,Left,4.0,ZADNI VIDUSHI,Diesel,2.4,,126000.0,Mechanical,Rear
Ford,2019-01-30, ID: 1990898,Transit ,5900.0,2005,16,yellow,Furgon:,115.0,Left,4.0,ZADNI VIDUSHI 115 dziauj,Diesel,2.4,,208000.0,Mechanical,Rear
Honda,2019-01-30, ID: 1990843,Fit ,3950.0,2008,,White,Sedan,,Right,,,Astragalus,,,128000.0,Automatic,
Fiat,2019-01-30, ID: 1990747,Scudo ,7500.0,2009,,Silver,Minivan / Minibus,,Left,,,Diesel,,,300000.0,Mechanical,
Ford,2019-01-30, ID: 1990683,Transit ,6700.0,2012,15,White,Minivan / Minibus,85.0,Left,4.0,,Diesel,2.2,Grey,150000.0,Mechanical,Front
Ford,2019-01-30, ID: 1990569,Fusion ,10300.0,2013,,black,Sedan,,Left,,2.5 prastoy mator,Petrol,,,140000.0,Automatic,
Ford,2019-01-30, ID: 1990496,Transit ,7500.0,2012,,White,Universal,,Left,,Connect,Petrol,,,120000.0,Automatic,
Honda,2019-01-30, ID: 1990416,Elysion ,5200.0,2006,,black,Minivan / Minibus,,Right,,,Astragalus,,,148000.0,Automatic,
Honda,2019-01-30, ID: 1990410,CR-V ,6200.0,2004,15,Cherry,Truck:,160.0,Left,,,Astragalus,2.4,Beige,115000.0,Automatic,Wheel drive
Ford,2019-01-30, ID: 1990391,Fusion ,9800.0,2014,,Other color,Sedan,,Left,,,Petrol,,,78000.0,Automatic,
Honda,2019-01-30, ID: 1990303,Elysion ,4800.0,2005,16,White,Minivan / Minibus,160.0,Left,4.0,Dax xek 2005tiv,Petrol,2.4,Beige,140000.0,Automatic,Front
Ford,2019-01-30, ID: 1990257,Fusion ,9300.0,2012,,White,Sedan,,Left,,,Petrol,,,126758.0,Automatic,
Infiniti,2019-01-30, ID: 1990151,FX35 ,8700.0,2006,,Blue,Truck:,,Left,,3.0,Petrol,,,125000.0,Automatic,
Jaguar,2019-01-30, ID: 1990049,S-Type ,6500.0,2006,,cyan,Sedan,,Left,,,Petrol,,,185000.0,Automatic,
Honda,2019-01-30, ID: 1990034,Elysion ,5200.0,2006,16,Silver,Minivan / Minibus,,Left,4.0,,Petrol,2.4,black,90000.0,Automatic,Front
Infiniti,2019-01-30, ID: 1989919,FX35 ,9200.0,2006,,black,Truck:,,Left,,3.5,Petrol,,,110000.0,Automatic,
Ford,2019-01-30, ID: 1989754,Escape ,7500.0,2009,,Grey,Truck:,240.0,Left,,Liaqarshak,Petrol,3.0,black,130000.0,Automatic,Wheel drive
Honda,2019-01-30, ID: 1989661,Accord ,2950.0,2001,15,black,Sedan,110.0,Right,4.0,ELEGANCE,Astragalus,2.0,black,145000.0,Automatic,Front
Jeep,2019-01-30, ID: 1989647,Wrangler ,14000.0,2005,,black,Coupe,,Left,,4.0l sport,Petrol,,,160000.0,Automatic,
Ford,2019-01-30, ID: 1989622,Mustang ,7400.0,2014,,black,Sedan,,Left,,3.6,Petrol,,,108000.0,Automatic,
Chrysler,2019-01-30, ID: 1989620,300 ,7400.0,2014,,black,Sedan,,Left,,3.6,Petrol,,,108000.0,Automatic,
Infiniti,2019-01-30, ID: 1989602,EX35 ,9700.0,2008,,White,Universal,,Left,,,Astragalus,,,60000.0,Automatic,
Honda,2019-01-29, ID: 1989561,Elysion ,4100.0,2006,,Grey,Minivan / Minibus,,Right,,RR1,Petrol,,,129000.0,Automatic,
Ford,2019-01-29, ID: 1989495,Escape ,4000.0,2001,,black,Truck:,,Left,,3.0 v6,Astragalus,,,192000.0,Automatic,
Honda,2019-01-29, ID: 1989409,Elysion ,5600.0,2007,,black,Minivan / Minibus,,Left,,Restayling,Petrol,,,122000.0,Automatic,
GAZ,2019-01-29, ID: 1989387,3110 ,2100.0,2006,,green,Sedan,,Left,,,Astragalus,2.0,,196000.0,Mechanical,
Infiniti,2019-01-29, ID: 1989366,FX35 ,8000.0,2004,,Grey,Universal,,Left,,3.5,Petrol,,,155000.0,Automatic,
Honda,2019-01-29, ID: 1989326,Jazz ,2600.0,2005,,black,Sedan,,Right,,,Astragalus,,,150000.0,Automatic,
Honda,2019-01-29, ID: 1989325,Jazz ,2600.0,2005,,black,Sedan,,Right,,,Astragalus,,,150000.0,Automatic,
Honda,2019-01-29, ID: 1989299,Accord ,12500.0,2013,,White,Sedan,,Left,,,Petrol,2.4,,60000.0,Automatic,
Ford,2019-01-29, ID: 1989224,Transit ,6700.0,2012,15,White,Minivan / Minibus,85.0,Left,4.0,,Diesel,2.2,Grey,150000.0,Mechanical,Front
Honda,2019-01-29, ID: 1989190,Fit ,3500.0,2006,,White,Hatchback,,Right,,,Petrol,,,125000.0,Variator:,
GAZ,2019-01-29, ID: 1989187,31105 ,2600.0,2006,,black,Sedan,,Left,,,Petrol,,,160000.0,Mechanical,
Infiniti,2019-01-29, ID: 1989126,FX35 ,9800.0,2010,,black,Truck:,,Left,,4x4,Petrol,,,170000.0,Automatic,
Infiniti,2019-01-29, ID: 1989019,G35 ,9800.0,2006,,red,Coupe,,Left,,,Petrol,,,116000.0,Automatic,
Infiniti,2019-01-29, ID: 1988843,QX4 ,6500.0,2002,17,Silver,Truck:,272.0,Left,6.0,3.5 full,Astragalus,3.5,black,135000.0,Automatic,Wheel drive
Ford,2019-01-29, ID: 1988733,Transit ,5000.0,2003,,Silver,Minivan / Minibus,,Left,,,Diesel,,,135000.0,Mechanical,
Ford,2019-01-29, ID: 1988720,Transit ,6300.0,2004,,red,Minivan / Minibus,,Left,,,Diesel,,,140000.0,Mechanical,
Ford,2019-01-29, ID: 1988717,Transit ,5200.0,2003,,Silver,Minivan / Minibus,,Left,,,Diesel,,,150000.0,Mechanical,
Ford,2019-01-29, ID: 1988710,Transit ,6700.0,2002,,White,Minivan / Minibus,,Left,,,Diesel,,,225000.0,Mechanical,
Ford,2019-01-29, ID: 1988700,Transit ,7700.0,2004,,red,Minivan / Minibus,,Left,,,Astragalus,,,190000.0,Mechanical,
Ford,2019-01-29, ID: 1988517,Explorer ,8300.0,2010,16,black,Truck:,213.0,Left,6.0,"XLT, 4*4, JAPAN, завод.левый рул",Petrol,4.0,Beige,132000.0,Automatic,Wheel drive
Honda,2019-01-29, ID: 1988498,Fit ,2300.0,2005,,orange,Hatchback,,Right,,1.5,Petrol,,,120000.0,Automatic,
Honda,2019-01-29, ID: 1988449,Accord ,6000.0,2007,16,Silver,Sedan,190.0,Left,4.0,,Petrol,2.4,black,98000.0,Automatic,Front
Honda,2019-01-29, ID: 1988411,Odyssey ,6800.0,2006,,Blue,Universal,,Left,,3.5,Petrol,,,155000.0,Automatic,
Infiniti,2019-01-29, ID: 1988323,FX35 ,8000.0,2004,,Grey,Truck:,,Left,,,Astragalus,,,167000.0,Automatic,
Honda,2019-01-29, ID: 1988300,Odyssey ,6700.0,2008,,White,Minivan / Minibus,244.0,Left,,2007-2008 Restyling,Petrol,3.5,Beige,118000.0,Automatic,
Infiniti,2019-01-29, ID: 1988288,FX35 ,10000.0,2007,,White,Universal,,Left,,,Petrol,,,88000.0,Automatic,
Honda,2019-01-29, ID: 1988272,Fit ,4166.0,2009,,black,Sedan,,Right,,1.3.......100 ձիաուժ,Astragalus,,,100000.0,Variator:,
Infiniti,2019-01-29, ID: 1988252,QX4 ,4800.0,2000,,black,Truck:,,Left,,3.5,Petrol,,,224000.0,Automatic,
Honda,2019-01-29, ID: 1988199,CR-V ,8300.0,2008,,Grey,Truck:,,Left,,,Petrol,,,112000.0,Automatic,
Honda,2019-01-28, ID: 1987995,Odyssey ,6400.0,2007,,Blue,Minivan / Minibus,,Left,,3.5,Petrol,,,150000.0,Automatic,
Honda,2019-01-28, ID: 1987994,Odyssey ,6400.0,2007,,Blue,Minivan / Minibus,,Left,,3.5,Petrol,,,150000.0,Automatic,
Ford,2019-01-28, ID: 1987978,Transit ,5800.0,2007,,White,Furgon:,,Left,,NOR BERVAC GERMANYAIC,Diesel,,,174000.0,Mechanical,
Ford,2019-01-28, ID: 1987974,Transit ,5800.0,2007,,White,Furgon:,,Left,,NOR BERVAC. 110 DZIAUJ,Diesel,,,202000.0,Mechanical,
Honda,2019-01-28, ID: 1987964,Fit ,3800.0,2008,,Silver,Hatchback,,Right,,,Petrol,,,95000.0,Variator:,
Honda,2019-01-28, ID: 1987955,Fit ,2.57319587628866,2006,,black,Hatchback,86.0,Right,,2006 թիվ 1.3 մատոռ,Petrol,1.3,Grey,124000.0,Variator:,
Honda,2019-01-28, ID: 1987946,CR-V ,6000.0,2005,16,Grey,Truck:,150.0,Left,4.0,,Petrol,2.4,black,160000.0,Automatic,Wheel drive
Infiniti,2019-01-28, ID: 1987931,FX35 ,16500.0,2010,,White,Truck:,,Left,,2010 i 12 amis,Petrol,,,113000.0,Automatic,
Honda,2019-01-28, ID: 1987926,CR-V ,8400.0,2009,,black,Truck:,,Left,,LX,Petrol,,,86500.0,Automatic,
Ford,2019-01-28, ID: 1987847,Transit ,5900.0,2005,16,yellow,Furgon:,115.0,Left,4.0,ZADNI VIDUSHI,Diesel,2.4,,208000.0,Mechanical,Rear
Ford,2019-01-28, ID: 1987832,Transit ,6500.0,2005,16,yellow,Furgon:,90.0,Left,4.0,ZADNI VIDUSHI,Diesel,2.4,,126000.0,Mechanical,Rear
Infiniti,2019-01-28, ID: 1987661,QX4 ,4100.0,2000,16,White,Truck:,,Left,6.0,,Astragalus,3.3,Beige,190000.0,Automatic,Wheel drive
Infiniti,2019-01-28, ID: 1987660,QX4 ,4100.0,2000,16,White,Truck:,,Left,6.0,,Astragalus,3.3,Beige,190000.0,Automatic,Wheel drive
Honda,2019-01-28, ID: 1987645,CR-V ,8800.0,2008,,black,Truck:,,Left,,,Petrol,,,120000.0,Automatic,
Chrysler,2019-01-28, ID: 1987624,Crossfire ,5500.0,2003,18,Grey,Coupe,,Left,6.0,3.2,Petrol,3.2,Grey,110000.0,Automatic,Rear
GAZ,2019-01-28, ID: 1987586,Газель ,2000.0,2001,,White,Minivan / Minibus,,Left,,,Astragalus,,,145000.0,Mechanical,
Infiniti,2019-01-28, ID: 1987552,FX35 ,14900.0,2009,,Other color,Universal,,Left,,4x4 liaqarshak,Petrol,,,95000.0,Automatic,
Jeep,2019-01-28, ID: 1987538,Grand Cherokee ,6000.0,2001,17,Blue,Truck:,235.0,Left,8.0,Limited 4.7l,Petrol,4.7,black,176100.0,Automatic,Wheel drive
Honda,2019-01-28, ID: 1987412,Fit ,3800.0,2008,,yellow,Sedan,,Right,,2008tiv 1.3 mator,Astragalus,,,170000.0,Variator:,
Honda,2019-01-28, ID: 1987334,Elysion ,5000.0,2005,,White,Minivan / Minibus,,Left,,,Petrol,2.4,,180000.0,Automatic,
Ford,2019-01-28, ID: 1987142,Fusion ,9222.0,2013,17,White,Sedan,175.0,Left,4.0,2013-2014 SE,Petrol,2.5,Grey,63000.0,Automatic,Front
Ford,2019-01-28, ID: 1987127,Escape ,5400.0,2005,,Silver,Truck:,,Left,,4X4,Petrol,,,125000.0,Automatic,
Honda,2019-01-28, ID: 1987022,Fit ,3800.0,2008,14,White,Hatchback,100.0,Right,4.0,1.3,Petrol,1.3,black,110300.0,Variator:,Front
Ford,2019-01-28, ID: 1986882,Transit ,5700.0,2002,,Blue,Furgon:,,Left,,2.0 turbo mator,Diesel,,,190005.0,Mechanical,
Ford,2019-01-28, ID: 1986880,Transit ,5700.0,2002,,Blue,Furgon:,,Left,,2.0 turbo mator,Diesel,,,190005.0,Mechanical,
Ford,2019-01-28, ID: 1986870,Focus ,7200.0,2014,,Silver,Sedan,,Left,,SE,Petrol,,,55000.0,Automatic,
Jeep,2019-01-28, ID: 1986855,Grand Cherokee ,7000.0,2004,18,Silver,Truck:,190.0,Left,6.0,SPECIAL EDUCATION (FULL),Petrol,4.0,black,68000.0,Automatic,Wheel drive
Honda,2019-01-28, ID: 1986701,Elysion ,6300.0,2007,,black,Sedan,,Left,,Anteri Restayling,Petrol,,,150000.0,Automatic,
Honda,2019-01-28, ID: 1986592,CR-V ,3800.0,2000,,White,Truck:,,Right,,,Astragalus,,,180000.0,Automatic,
Chrysler,2019-01-28, ID: 1986514,300 ,8300.0,2005,17,White,Sedan,193.0,Left,6.0,2.7,Petrol,2.7,black,51000.0,Automatic,Rear
Honda,2019-01-28, ID: 1986461,Fit ,3900.0,2008,,black,Hatchback,,Right,,,Petrol,,,90000.0,Variator:,
Honda,2019-01-27, ID: 1986416,Fit ,3200.0,2003,,Other color,Sedan,,Right,,Aria 1.5,Astragalus,,,69000.0,Automatic,
Ford,2019-01-27, ID: 1986399,Focus ,4700.0,2011,,Other color,Sedan,,Left,,2.0,Petrol,,,100.0,Automatic,
Infiniti,2019-01-27, ID: 1986397,FX35 ,17300.0,2009,21,White,Truck:,307.0,Left,6.0,"INFINITI FX35 , FULL tarberaky,",Petrol,3.5,black,116000.0,Automatic,Wheel drive
Infiniti,2019-01-27, ID: 1986363,FX35 ,10000.0,2005,,black,Truck:,,Left,,,Astragalus,,,17000.0,Automatic,
Honda,2019-01-27, ID: 1986350,Fit ,2900.0,2003,,White,Sedan,,Right,,16,Astragalus,,,160000.0,Automatic,
Infiniti,2019-01-27, ID: 1986332,M45 ,6000.0,2006,,White,Sedan,,Left,,,Astragalus,,,150000.0,Automatic,
