brand,model,price,year,Color,Body_Style,Horsepower,Hand_Drive,Engine_Cylinders,Engine,Engine_Volume,Interior_Color,Mileage,Gearbox,Drive_train,sold
Nissan,X-Trail ,4300,2004,Blue,Truck:,165,Right,4,Astragalus,2,,270000,Automatic,Wheel drive,No
Hyundai,Elantra ,6200,2006,Grey,Sedan,141,Left,4,Petrol,2,Grey,74000,Automatic,Front,No
Nissan,Teana ,4700,2006,Silver,Sedan,173,Right,6,Astragalus,2.3,Beige,120000,Automatic,Front,No
Mercedes-Benz,S 550 ,22900,2010,Grey,Sedan,388,Left,8,Petrol,5.5,black,125000,Automatic,Rear,Yes
Toyota,Camry ,9000,2011,Silver,Sedan,181,Left,4,Petrol,2.5,,168000,Automatic,Front,No
BMW,325,5000,2002,black,Coupe,192,Left,6,Petrol,2.5,black,148000,Automatic,Rear,Yes
Mercedes-Benz,C 230 ,6000,2005,red,Sedan,204,Left,6,Astragalus,2.5,black,73000,Automatic,Rear,No
Nissan,Elgrand ,7200,2006,Grey,Minivan / Minibus,186,Right,6,Petrol,2.5,Beige,139000,Automatic,Wheel drive,No
Toyota,Altezza ,4600,2001,Blue,Sedan,210,Right,4,Petrol,2,black,175000,Mechanical,Rear,Yes
Hyundai,Veloster ,10500,2011,Grey,Hatchback,138,Left,4,Petrol,1.6,Grey,61000,Robot,Front,Yes
Toyota,Camry ,15000,2011,black,Sedan,278,Left,6,Petrol,3.5,black,84000,Automatic,Front,No
Nissan,Note ,3000,2005,White,Hatchback,110,Right,10,Astragalus,1.6,black,17000,Automatic,,No
Opel,Astra ,3900,2008,White,Hatchback,138,Left,4,Petrol,1.8,Grey,130000,Mechanical,Front,No
Land Rover,Freelander ,5950,2002,green,Truck:,177,Left,6,Petrol,2.5,Grey,188600,Automatic,Wheel drive,No
Mercedes-Benz,E 320 ,6100,2001,black,Sedan,224,Left,8,Astragalus,3.2,black,203333,Automatic,Rear,No
VAZ(Lada),2115,3000,2005,Silver,Sedan,77,Left,4,Astragalus,1.5,Grey,141000,Mechanical,Front,No
Toyota,Land Cruiser Prado ,15500,2006,White,Truck:,250,Left,6,Petrol,4,Beige,121000,Automatic,Wheel drive,No
Honda,CR-V ,8000,2008,black,Truck:,170,Left,4,Petrol,2.4,black,140000,Automatic,Wheel drive,No
BMW,318,4400,2001,black,Sedan,118,Left,4,Astragalus,1.9,black,240000,Mechanical,Rear,No
Porsche,Cayenne ,15000,2005,White,Truck:,340,Left,8,Petrol,4.5,Beige,146000,Automatic,Wheel drive,No
Opel,Zafira ,3600,2000,Silver,Minivan / Minibus,116,Left,4,Petrol,1.8,black,160000,Automatic,Front,No
Lexus,GX 470 ,17000,2007,White,Sedan,263,Left,8,Petrol,4.7,,95000,Automatic,Wheel drive,No
Infiniti,G37 ,14300,2012,black,Coupe,348,Left,6,Petrol,3.7,black,99865,Automatic,Rear,No
Volkswagen,Jetta ,7800,2005,Grey,Sedan,150,Left,6,Petrol,2.5,black,231000,Automatic,Front,No
Nissan,Note ,3000,2005,black,Hatchback,110,Right,6,Astragalus,1.5,black,170000,Automatic,Front,No
Opel,Vectra ,4300,2002,Silver,Sedan,147,Left,4,Astragalus,2.2,black,315000,Automatic,Front,No
Mitsubishi,Outlander ,7000,2007,black,Truck:,220,Left,6,Petrol,3,black,208000,Automatic,Wheel drive,No
Nissan,Pathfinder ,7800,2002,White,Truck:,241,Left,6,Astragalus,3.5,White,190000,Automatic,Wheel drive,No
Mitsubishi,Pajero ,7300,2005,black,Coupe,177,Left,6,Astragalus,3,Other color,130000,Automatic,,No
Nissan,Tiida ,3500,2005,White,Sedan,120,Right,4,Astragalus,1.8,Beige,170000,Variator:,Front,No
Hyundai,Sonata ,9000,2011,Other color,Sedan,200,Left,4,Petrol,2.4,Grey,72000,Automatic,Front,No
Mazda,6,11400,2014,Blue,Sedan,193,Left,4,Petrol,2.4,black,72000,Automatic,Front,No
Mercedes-Benz,ML 350 ,10500,2005,Silver,Universal,270,Left,6,Astragalus,3.5,Grey,191000,Robot,Wheel drive,No
Kia,Rio ,6100,2010,Other color,Sedan,112,Left,4,Petrol,1.6,black,81000,Automatic,Front,No
Mercedes-Benz,E 320 ,5000,2000,Beige,Sedan,224,Left,6,Astragalus,3.2,Beige,137000,Automatic,Rear,No
Toyota,Highlander ,26000,2014,Silver,Truck:,185,Left,4,Petrol,2.7,,71000,Automatic,Front,No
Mercedes-Benz,E 320 ,5300,2000,black,Sedan,224,Left,6,Astragalus,3.2,Beige,214000,Automatic,Rear,No
Kia,Forte ,8100,2013,White,Sedan,145,Left,4,Petrol,1.8,black,49000,Automatic,Front,No
BMW,320,6700,2004,White,Sedan,170,Left,6,Petrol,2.2,black,102000,Automatic,Rear,Yes
Hyundai,Sonata ,5700,2008,Silver,Universal,251,Left,6,Astragalus,3.3,Grey,150,Automatic,Front,No
BMW,320,6700,2004,White,Sedan,170,Left,6,Petrol,2.2,black,102000,Automatic,Rear,Yes
Honda,Accord ,16800,2011,White,Sedan,201,Left,4,Petrol,2.4,Beige,150000,Automatic,Front,No
Suzuki,Kizashi ,7300,2011,Silver,Sedan,180,Left,4,Petrol,2.4,black,195000,Automatic,Wheel drive,No
Nissan,Tiida ,3500,2008,Silver,Hatchback,109,Right,4,Petrol,1.5,black,95000,Variator:,Front,Yes
Mitsubishi,Pajero ,13800,2000,Silver,Coupe,177,Left,6,Astragalus,3,,133000,Automatic,Wheel drive,No
Toyota,Prius ,12300,2013,White,Hatchback,98,Left,4,Hybrid:,1.8,Grey,100000,Automatic,Front,Yes
Opel,Vectra B ,2550,2001,Blue,Sedan,170,Left,4,Petrol,1.8,Grey,22000,Automatic,Front,Yes
Ford,Explorer ,4900,2002,black,Truck:,204,Left,6,Astragalus,4,Grey,150000,Automatic,Rear,No
BMW,325,7500,2004,black,Sedan,193,Left,6,Petrol,2.5,black,223000,Automatic,Rear,No
BMW,528,10000,2009,Grey,Sedan,234,Left,6,Petrol,2.8,black,145000,Robot,Rear,No
Mercedes-Benz,E 240 ,7800,2002,Blue,Sedan,177,Left,6,Astragalus,2.4,black,150000,Mechanical,Rear,No
Ford,Explorer ,12600,2002,black,Truck:,203,Left,6,Astragalus,4,Grey,150000,Automatic,Rear,No
BMW,323,8500,2007,black,Sedan,177,Left,6,Petrol,2.5,Beige,45000,Automatic,Rear,No
BMW,325,7500,2006,black,Sedan,218,Left,6,Astragalus,2.5,black,155000,Automatic,Wheel drive,No
Porsche,Cayenne ,15500,2007,Silver,Truck:,290,Left,6,Petrol,3.6,black,110000,Automatic,,Yes
Mitsubishi,Outlander ,7000,2006,black,Truck:,170,Right,4,Astragalus,2.4,black,160000,Automatic,Wheel drive,No
Mercedes-Benz,C 240 ,6200,2001,Silver,Sedan,170,Left,6,Astragalus,2.6,Grey,256000,Automatic,Rear,No
Toyota,Camry ,15000,2015,White,Sedan,249,Left,6,Petrol,3.5,black,47450,Automatic,,No
Mercedes-Benz,C 240 ,6200,2001,Silver,Sedan,170,Left,6,Astragalus,2.6,Grey,256000,Automatic,Rear,No
Kia,Forte ,6500,2009,Chestnut,Sedan,156,Left,4,Petrol,2,Beige,129000,Robot,Front,No
Volkswagen,Passat ,3000,2003,black,Sedan,170,Left,4,Astragalus,1.8,,290000,Automatic,Front,Yes
Nissan,Note ,3000,2005,White,Hatchback,110,Right,8,Astragalus,1.5,black,170000,Automatic,Front,No
Nissan,X-Trail ,6300,2005,Silver,Universal,150,Left,4,Petrol,2,Grey,110000,Automatic,Wheel drive,No
Volkswagen,Golf ,3400,2004,Silver,Hatchback,150,Right,4,Petrol,2,Grey,110000,Automatic,Front,No
Nissan,Note ,3700,2008,Grey,Hatchback,110,Right,4,Astragalus,1.5,black,92000,Variator:,Front,No
Volkswagen,Touareg ,12000,2005,black,Truck:,310,Left,8,Petrol,4.2,black,1000,Robot,Wheel drive,No
Mercedes-Benz,ML 320 ,5500,2000,Other color,Truck:,218,Left,6,Astragalus,3.2,black,170000,Automatic,Wheel drive,No
Mercedes-Benz,C 180 ,5500,2001,Silver,Sedan,143,Left,4,Astragalus,1.8,Grey,145000,Mechanical,Rear,No
Opel,Astra ,3900,2008,Other color,Hatchback,141,Left,4,Petrol,1.8,Grey,104000,Mechanical,Front,No
Toyota,Camry ,15000,2015,black,Sedan,178,Left,4,Petrol,2.5,Grey,46000,Automatic,Front,No
Nissan,Teana ,5800,2003,White,Sedan,183,Right,6,Petrol,2.3,Beige,159000,Automatic,Front,No
Infiniti,FX35 ,17200,2011,White,Truck:,306,Left,6,Astragalus,3.5,Beige,92000,Automatic,Wheel drive,No
Nissan,March ,2900,2005,White,Hatchback,90,Right,4,Petrol,1.2,White,200,Automatic,Front,No
Mercedes-Benz,E 320 ,8000,2000,Other color,Sedan,224,Left,6,Petrol,3.2,black,61000,Robot,Wheel drive,No
BMW,320,6700,2003,White,Sedan,170,Left,6,Astragalus,2.2,Grey,99000,Automatic,Rear,No
Nissan,X-Trail ,6300,2004,Silver,Universal,150,Left,4,Astragalus,2,,145000,Automatic,Wheel drive,No
Toyota,Ipsum ,5900,2004,Silver,Universal,160,Right,4,Petrol,2.4,black,113800,Automatic,Front,No
Lexus,RX 350 ,27000,2008,Silver,Truck:,268,Left,6,Petrol,3.5,black,135000,Automatic,Wheel drive,No
Kia,Sorento ,6000,2005,Grey,Truck:,195,Left,6,Petrol,3.5,Grey,106000,Automatic,Wheel drive,No
Nissan,X-Trail ,4200,2001,Other color,Truck:,150,Right,4,Astragalus,2,Beige,230000,Automatic,Wheel drive,No
Mitsubishi,Grandis ,4300,2003,Other color,Universal,165,Right,4,Astragalus,2.4,Beige,130000,Automatic,Front,No
Opel,Astra ,3200,2002,Other color,Hatchback,101,Left,4,Petrol,1.6,Grey,230000,Mechanical,Front,Yes
VAZ(Lada),2170 Priora ,5300,2013,Other color,Sedan,98,Left,4,Petrol,1.6,black,120000,Mechanical,Front,Yes
BMW,525,9500,2004,White,Sedan,193,Left,6,Petrol,2.5,black,134000,Automatic,Rear,No
Mercedes-Benz,ML 320 ,6800,2000,Blue,Truck:,217,Left,6,Astragalus,3.2,YG,300000,Automatic,Wheel drive,No
Opel,Zafira ,3400,2002,black,Minivan / Minibus,140,Left,4,Astragalus,2,black,300000,Mechanical,Front,No
BMW,320,4000,2004,black,Sedan,170,Right,6,Petrol,2.2,black,91000,Automatic,Rear,No
Chevrolet,Cruze ,9000,2017,black,Sedan,150,Left,4,Petrol,1.4,black,1150,Automatic,Front,No
Honda,Pilot ,13000,2009,Grey,Truck:,250,Left,6,Astragalus,3.5,White,107881,Automatic,Wheel drive,No
Mercedes-Benz,E 200 ,5500,2000,Silver,Sedan,136,Left,4,Astragalus,2,black,202000,Mechanical,Rear,Yes
Mitsubishi,Grandis ,5800,2003,Silver,Minivan / Minibus,170,Left,4,Petrol,2.4,White,350000,Automatic,Front,No
Mercedes-Benz,B 170 ,5800,2009,black,Hatchback,116,Left,4,Petrol,1.7,Grey,75000,Automatic,Front,No
Honda,Fit ,4200,2008,Silver,Hatchback,100,Right,4,Astragalus,1.3,Other color,100,Variator:,Front,No
Mercedes-Benz,CLS 500 ,12000,2005,White,Hatchback,308,Left,8,Petrol,5,black,120000,Automatic,Rear,No
Mercedes-Benz,E 320 ,8000,2003,Silver,Sedan,234,Left,6,Astragalus,3.2,black,66000,Automatic,Rear,No
GAZ,3110,1500,2002,black,Sedan,150,Left,4,Astragalus,2.4,,140000,Mechanical,Rear,No
Mazda,6,15300,2016,black,Sedan,192,Left,6,Petrol,2.5,black,8000,Automatic,Front,Yes
Toyota,Corolla ,8200,2008,White,Sedan,158,Left,4,Petrol,2.4,black,106500,Automatic,Front,Yes
Mercedes-Benz,C 180 ,6000,2006,black,Sedan,145,Left,4,Petrol,1.8,black,205000,Automatic,Rear,No
Honda,Fit ,4800,2010,White,Hatchback,120,Left,4,Petrol,1.5,Beige,100000,Automatic,,No
Mercedes-Benz,B 180 ,7000,2011,Blue,Hatchback,120,Left,4,Petrol,1.8,black,115000,Automatic,Front,Yes
Mitsubishi,Airtrek ,5200,2002,White,Sedan,240,Left,4,Petrol,2,black,180000,Robot,Wheel drive,No
Nissan,Maxima ,6400,2005,Grey,Sedan,265,Left,6,Petrol,3.5,Grey,77000,Automatic,Front,No
Chevrolet,Cruze ,6200,2013,White,Sedan,130,Left,4,Petrol,1.8,black,127000,Mechanical,Front,No
Nissan,Tiida ,3500,2005,White,Hatchback,109,Right,4,Petrol,1.5,black,210000,Variator:,Front,No
Mitsubishi,Pajero ,12500,2010,black,Coupe,269,Left,6,Petrol,3.8,black,112000,Automatic,Wheel drive,Yes
Mitsubishi,Outlander ,11000,2004,Silver,Truck:,160,Left,4,Astragalus,2.4,black,142000,Automatic,Wheel drive,No
Mitsubishi,Pajero ,4700,2001,White,Coupe,220,Right,6,Astragalus,3.5,Grey,193000,Automatic,Wheel drive,No
Mitsubishi,Colt ,3700,2006,black,Hatchback,154,Right,4,Astragalus,1.5,red,130000,Variator:,Front,No
VAZ(Lada),2107,3100,2010,Grey,Sedan,80,Left,4,Astragalus,1.7,Grey,67000,Mechanical,Rear,Yes
VAZ(Lada),21099,2300,2000,black,Sedan,75,Left,4,Astragalus,1.5,black,32000,Mechanical,Front,No
Honda,Accord ,4600,2003,Other color,Sedan,155,Right,4,Astragalus,2,Beige,64000,Automatic,Front,No
Lexus,GS 300 ,10200,2006,White,Sedan,249,Left,6,Petrol,3,,133000,Automatic,Rear,Yes
Nissan,Tiida ,4400,2008,White,Hatchback,118,Left,4,Petrol,1.6,Beige,155000,Automatic,Front,Yes
BMW,X5 ,6700,2003,black,Truck:,231,Left,6,Petrol,3,black,156000,Automatic,Rear,No
Mercedes-Benz,E 350 ,7150,2005,Other color,Sedan,277,Left,6,Astragalus,3.5,Beige,210000,Automatic,Rear,No
GAZ,31105,2300,2006,black,Pickup,160,Left,4,Astragalus,2.4,Grey,150000,Mechanical,Rear,No
BMW,328,10499,2008,black,Coupe,234,Left,6,Petrol,3,black,140998,Automatic,Rear,No
Mercedes-Benz,C 300 ,11500,2008,White,Sedan,230,Left,12,Astragalus,3,Beige,124000,Automatic,Rear,No
Audi,A4 ,5500,2005,White,Sedan,200,Left,4,Petrol,2,,174000,Automatic,Front,No
BMW,530,7500,2004,Silver,Sedan,258,Left,6,Petrol,3,Grey,193000,Automatic,Rear,No
Toyota,Corolla ,7900,2009,black,Sedan,133,Left,4,Petrol,1.8,Beige,121000,Automatic,Front,No
Nissan,Versa ,5500,2010,White,Hatchback,109,Left,3,Petrol,1.8,black,148700,Automatic,Front,No
Toyota,Camry ,8200,2008,Silver,Sedan,160,Left,4,Astragalus,2.4,Grey,18000,Automatic,Front,No
Lexus,GX 470 ,18800,2007,White,Truck:,263,Left,8,Petrol,4.7,Beige,148700,Automatic,Wheel drive,No
BMW,318,5500,2003,Silver,Sedan,116,Left,4,Astragalus,1.8,black,160000,Mechanical,Rear,No
Mercedes-Benz,S 550 ,14500,2005,black,Sedan,388,Left,8,Petrol,5.5,black,77000,Automatic,Rear,Yes
BMW,325,7000,2006,black,Sedan,218,Left,6,Petrol,2.5,black,120000,Automatic,Rear,Yes
Toyota,Camry ,15000,2015,black,Sedan,178,Left,4,Petrol,2.5,black,63000,Automatic,Front,No
Toyota,Highlander ,21500,2012,White,Truck:,273,Left,6,Petrol,3.5,,99000,Automatic,Wheel drive,Yes
Suzuki,SX 4 ,6500,2011,Grey,Sedan,150,Left,4,Petrol,2,White,75000,Automatic,Front,No
BMW,X6 ,35000,2008,White,Truck:,260,Left,6,Petrol,3.5,red,150000,Automatic,Wheel drive,No
Suzuki,Grand Vitara ,8100,2008,Grey,Truck:,151,Left,4,Petrol,2,black,135000,Automatic,Wheel drive,No
BMW,X5 ,13500,2006,Grey,Truck:,320,Left,8,Petrol,4.4,black,196000,Automatic,Wheel drive,No
Toyota,Camry ,15000,2014,black,Sedan,250,Left,6,Petrol,3.5,black,65000,Automatic,Front,No
BMW,X6 ,35000,2008,White,Truck:,260,Left,6,Petrol,3.5,red,150000,Automatic,Wheel drive,No
BMW,X5 ,10150,2006,White,Truck:,320,Left,8,Petrol,4.4,Beige,130000,Automatic,Wheel drive,No
Toyota,Altezza ,5200,2000,White,Sedan,160,Right,6,Petrol,2,black,120000,Mechanical,Rear,No
Porsche,Cayenne ,10900,2004,Grey,Truck:,250,Left,6,Petrol,3.2,black,215000,Automatic,Wheel drive,No
Mitsubishi,Pajero ,6900,2005,black,Universal,170,Left,6,Petrol,0.3,Grey,290000,Automatic,Wheel drive,Yes
Toyota,Altezza ,5200,2000,White,Sedan,160,Right,6,Petrol,2,black,120000,Mechanical,Rear,No
Nissan,Note ,3000,2005,White,Hatchback,110,Right,8,Astragalus,1.5,black,170000,Automatic,Front,No
Mercedes-Benz,E 350 ,16800,2011,White,Sedan,272,Left,6,Petrol,3.5,black,170000,Automatic,Rear,No
Ford,Transit ,8500,2014,White,Minivan / Minibus,150,Left,4,Diesel,2.2,black,85000,Mechanical,Front,No
Ford,Transit ,4700,2003,White,Furgon:,85,Left,4,Diesel,2,Grey,235000,Mechanical,Front,No
Nissan,Teana ,5800,2008,Silver,Sedan,180,Right,6,Astragalus,2.5,black,130000,Automatic,Front,No
Toyota,Camry ,12100,2013,black,Sedan,181,Left,4,Petrol,2.5,black,120000,Automatic,Front,No
Mercedes-Benz,G 500 ,37000,2004,black,Truck:,298,Left,8,Petrol,5,black,92000,Automatic,Wheel drive,No
Toyota,Camry ,15000,2014,White,Sedan,178,Left,4,Petrol,2.5,black,28300,Automatic,Front,No
Toyota,Camry ,12100,2013,black,Sedan,181,Left,4,Petrol,2.5,black,120000,Automatic,Front,No
BMW,528,6300,2001,Silver,Sedan,197,Left,6,Petrol,2.8,black,185000,Robot,Rear,No
Nissan,Tiida ,3700,2007,Silver,Hatchback,109,Right,4,Petrol,1.5,,116000,Variator:,Front,No
BMW,320,4500,2001,Silver,Sedan,170,Left,6,Astragalus,2.2,,300000,Mechanical,Rear,No
Lexus,RX 330 ,9650,2003,Silver,Truck:,230,Left,6,Petrol,3.3,black,101000,Automatic,Wheel drive,No
Land Rover,Range Rover ,20911.67835,2015,black,Truck:,339,Left,8,Diesel,4.4,black,90000,Automatic,Front,Yes
Mitsubishi,Pajero ,6200,2003,black,Truck:,245,Left,6,Astragalus,3.8,Grey,111111,Automatic,,No
Volvo,XC90 ,9200,2008,Silver,Truck:,238,Left,6,Petrol,3.2,Grey,139000,Automatic,Wheel drive,No
Mercedes-Benz,E 320 ,6800,2004,Silver,Sedan,224,Left,6,Petrol,3.2,black,160000,Automatic,Wheel drive,No
Volkswagen,Jetta ,5500,2008,White,Sedan,150,Left,5,Petrol,2.5,Beige,135000,Automatic,Front,No
Volkswagen,Passat ,9500,2016,black,Sedan,187,Left,4,Petrol,1.8,Beige,52500,Automatic,Front,No
Lexus,GX 470 ,14300,2006,Silver,Universal,238,Left,8,Astragalus,4.7,Beige,147800,Automatic,Wheel drive,No
BMW,X5 ,9800,2005,White,Sedan,366,Left,8,Petrol,4.8,black,150000,Automatic,Wheel drive,No
BMW,318,3750,2000,black,Sedan,105,Left,4,Petrol,1.9,Grey,138000,Mechanical,Rear,No
Kia,Sorento ,10700,2010,Silver,Truck:,276,Left,6,Petrol,3.5,black,88000,Automatic,Wheel drive,Yes
Nissan,Tiida ,4400,2005,black,Hatchback,115,Right,4,Petrol,1.5,YG,144000,Variator:,Front,No
Nissan,Teana ,5800,2008,black,Sedan,187,Right,4,Astragalus,2.5,black,130000,Automatic,Front,No
Subaru,Forester ,7200,2006,Grey,Truck:,220,Right,4,Petrol,2,black,124000,Automatic,Wheel drive,No
Toyota,Camry ,15000,2011,black,Sedan,171,Left,4,Astragalus,2.5,Beige,138900,Automatic,Front,No
Lexus,GX 460 ,45000,2016,White,Universal,330,Left,8,Petrol,4.6,White,57000,Automatic,Wheel drive,No
Mitsubishi,Outlander ,11000,2010,Chestnut,Truck:,220,Left,6,Petrol,3,Beige,65000,Automatic,Wheel drive,No
Mercedes-Benz,ML 350 ,16500,2010,White,Truck:,272,Left,6,Petrol,3.5,Beige,160000,Automatic,Wheel drive,No
BMW,318,5700,2000,Blue,Sedan,118,Left,4,Astragalus,1.9,Grey,120000,Mechanical,Rear,No
Porsche,Cayenne ,20500,2005,black,Truck:,340,Left,8,Petrol,4.5,Beige,135000,Automatic,Wheel drive,No
Volkswagen,Passat ,5300,2006,black,Sedan,150,Left,4,Petrol,2,Grey,268000,Automatic,Front,No
BMW,X5 ,15000,2008,black,Hatchback,355,Left,8,Petrol,4.8,black,210000,Automatic,Wheel drive,No
Nissan,Teana ,5300,2004,White,Sedan,173,Right,6,Petrol,2.3,Beige,84000,Automatic,Front,No
Lexus,GX 470 ,13000,2003,White,Truck:,238,Left,8,Petrol,4.7,Beige,193000,Automatic,Wheel drive,No
Niva,2121,4800,2008,White,Truck:,98,Left,6,Astragalus,1.8,black,218000,Mechanical,Wheel drive,No
Opel,Zafira ,4700,2007,Silver,Universal,97,Left,4,Astragalus,1.6,black,101000,Mechanical,Front,No
Toyota,Camry ,12000,2013,Grey,Sedan,280,Left,6,Petrol,3.5,black,35000,Automatic,Front,No
Audi,A6 ,4300,2001,Silver,Sedan,150,Left,4,Astragalus,1.8,black,250000,Mechanical,Front,No
Nissan,Tiida ,4000,2008,Chestnut,Hatchback,109,Right,4,Astragalus,1.5,black,85000,Variator:,Front,No
Hyundai,Elantra ,7700,2011,Silver,Sedan,150,Left,4,Petrol,1.8,black,134000,Automatic,Front,Yes
Honda,CR-V ,4200,2000,Silver,Truck:,129,Right,4,Petrol,2,Grey,173000,Automatic,Wheel drive,No
Mitsubishi,Pajero Pinin (IO) ,4300,2000,White,Truck:,136,Left,4,Astragalus,2,black,154000,Automatic,Wheel drive,No
Hyundai,Elantra ,9200,2013,White,Sedan,145,Left,4,Petrol,1.8,black,58000,Automatic,Front,No
Volkswagen,Touareg ,10500,2007,Silver,Truck:,280,Left,6,Petrol,3.6,black,114400,Automatic,Wheel drive,No
Mercedes-Benz,CLK 320 ,7800,2005,Silver,Coupe,224,Left,6,Petrol,3.2,black,196000,Automatic,Rear,No
Mazda,6,7000,2008,Cherry,Sedan,150,Left,4,Petrol,2,black,130000,Automatic,Front,No
Mercedes-Benz,S 550 ,17000,2006,White,Sedan,388,Left,8,Petrol,5.5,black,250000,Automatic,Front,Yes
Chrysler,300 C ,7500,2007,White,Sedan,249,Left,6,Astragalus,3.5,,156000,Robot,Rear,No
Toyota,Camry ,15000,2015,White,Sedan,150,Left,6,Petrol,2,black,29000,Automatic,Front,No
BMW,X3 ,7000,2005,Silver,Truck:,231,Left,6,Petrol,3,black,236000,Automatic,Wheel drive,No
Toyota,Rav 4 ,10999,2011,Chestnut,Truck:,180,Left,4,Petrol,2.5,Beige,99000,Automatic,Wheel drive,Yes
Kia,Forte ,7500,2013,Silver,Sedan,148,Left,4,Petrol,1.8,black,95000,Automatic,Front,No
Mitsubishi,Pajero ,11500,2007,black,Coupe,177,Left,6,Astragalus,3,black,169500,Automatic,Wheel drive,Yes
Toyota,Camry ,15000,2011,black,Sedan,260,Left,6,Petrol,3.5,black,55800,Automatic,Front,No
BMW,325,7000,2001,Silver,Sedan,192,Left,6,Astragalus,2.5,black,126000,Automatic,Rear,No
Honda,Elysion ,7500,2004,White,Minivan / Minibus,150,Right,4,Petrol,2.4,Grey,166000,Automatic,Front,Yes
Nissan,X-Trail ,4700,2003,White,Truck:,150,Left,4,Astragalus,2,Grey,180000,Automatic,Wheel drive,Yes
BMW,320,6500,2004,black,Sedan,170,Left,6,Petrol,2.2,,89000,Automatic,Rear,No
Mercedes-Benz,C 240 ,4900,2002,White,Sedan,170,Left,6,Astragalus,2.6,Beige,230000,Automatic,Rear,No
Volkswagen,Jetta ,7200,2013,black,Sedan,170,Left,5,Astragalus,2.5,black,100000,Automatic,Front,No
Mercedes-Benz,E 320 ,8000,2004,black,Sedan,224,Left,6,Petrol,3.2,black,190000,Automatic,Rear,No
Mercedes-Benz,E 320 ,8000,2004,black,Sedan,224,Left,6,Petrol,3.2,black,190000,Automatic,Rear,No
Mercedes-Benz,E 320 ,7800,2004,cyan,Sedan,224,Left,6,Astragalus,3.2,black,190000,Automatic,Rear,No
Mercedes-Benz,E 350 ,16500,2009,White,Sedan,272,Left,6,Petrol,3.5,black,195000,Automatic,Rear,No
BMW,525,8600,2005,Grey,Sedan,192,Left,6,Petrol,2.5,black,110000,Automatic,Rear,No
Mazda,MPV ,3600,2003,Silver,Universal,163,Right,4,Astragalus,2.3,Grey,1111,Automatic,Front,No
Opel,Astra ,3900,2008,Other color,Hatchback,140,Left,4,Astragalus,1.8,Grey,108000,Mechanical,Front,No
Land Rover,Range Rover Sport ,18500,2008,black,Truck:,300,Left,8,Petrol,4.4,black,92000,Automatic,,Yes
Toyota,Land Cruiser 200 ,40000,2014,black,Truck:,308,Left,8,Petrol,4.6,black,80000,Automatic,Wheel drive,No
